uid;numQ;numA;numC
2253;0;4;3
2254;1;0;4
2257;3;0;3
2259;0;1;22
2262;0;1;161
2265;7;13;11
2270;6;16;2
2271;1;4;58
2273;12;2;3
2276;3;0;30
2277;10;12;21
2280;1;0;3
2281;0;1;93
2282;12;135;14
2283;5;4;8
2285;1;1;16
2287;5;0;58
2288;0;2;1
2289;3;0;9
2290;1;0;35
2292;2;0;1
2295;1;0;297
2296;9;0;20
2297;1;0;587
2298;10;11;87
2299;0;1;3
2303;1;0;98
2307;5;1;10
2309;1;10;59
2310;4;0;3
2311;8;0;1
2312;30;2;8
2313;0;1;10
2318;1;0;15
2319;8;6;1
2320;2;0;12
2322;0;417;3
2323;1;14;70
2325;0;2;2
2327;2;34;10
2329;1;0;2
2331;3;70;8
2333;3;0;121
2334;5;0;3
2345;2;1;9
2346;69;3;5
2347;0;1;28
2350;0;1;15
2352;5;207;2
2354;5;1;4
2355;4;0;50
2356;3;10;1
2358;0;2;58
2360;4;2;1
2361;5;9;5
2362;0;4;2
2368;0;2;4
2369;16;14;23
2373;0;32;6
2375;1;0;15
2376;0;1;9
2377;0;1;43
2384;0;1;4
2387;3;7;4
2388;4;5;1
2393;0;2;1
2395;1;0;15
2398;7;33;32
2401;4;38;130
2403;2;0;1
2404;0;1;4
2405;0;2;6
2406;3;1;7
2407;50;8;19
2409;0;2;32
2412;1;0;46
2413;0;1;180
2416;1;2;2
2417;6;1;70
2418;1;2;22
2421;0;5;7
2424;0;1;2
2426;1;0;8
2427;1;0;3
2429;6;3;1
2433;2;0;3
2434;1;1;5
2436;1;4;45
2438;15;130;41
2441;5;3;63
2442;5;2;13
2448;0;2;17
2449;2;1;19
2450;1;5;39
2452;0;6;1
2453;3;1;6
2458;4;15;13
2462;5;1;14
2463;0;7;3
2467;17;0;2
2468;1;0;1
2471;1;4;35
2474;11;5;4
2476;1;0;20
2480;0;1;15
2481;12;4;30
2484;1;0;4
2485;10;0;21
2487;5;4;14
2488;1;0;2
2490;0;1;12
2491;1;0;3
2492;2;0;7
2493;2;2;24
2494;3;0;38
2495;9;2;15
2497;13;0;2
2498;0;1;8
2499;0;1;9
2500;0;1;1
2501;26;6;1
2503;1;1;152
2506;0;1;9
2507;21;2;1
2508;0;44;18
2509;2;1;25
2513;0;1;32
2515;0;1;34
2519;0;12;69
2521;39;11;9
2522;1;5;21
2523;0;4;7
2525;0;1;5
2527;1;4;40
2528;0;5;59
2530;0;1;31
2532;2;27;20
2536;1;0;53
2540;1;1;23
2541;23;34;156
2542;1;1;230
2543;0;2;76
2546;0;1;4
2547;0;2;15
2549;0;19;22
2550;0;3;2
2551;16;4;101
2557;0;2;17
2559;4;2;88
2561;0;1;8
2562;1;0;5
2567;0;4;9
2568;6;0;10
2570;1;0;1
2571;0;4;52
2572;1;7;78
2573;1;0;3
2575;1;1;48
2579;1;4;6
2582;0;1;55
2584;0;1;94
2585;0;5;2
2590;1;1;3
2591;14;0;1
2592;126;189;1
2596;1;0;11
2598;0;1;27
2599;6;0;12
2601;0;8;3
2603;0;1;14
2604;0;5;1
2605;30;16;88
2606;1;1;12
2609;2;3;64
2610;0;1;4
2611;0;1;5
2619;88;26;74
2622;2;12;4
2624;9;20;15
2625;6;5;96
2626;2;5;4
2632;1;0;1
2640;0;1;1
2642;1;0;32
2643;1;2;2
2645;13;6;1
2646;1;7;3
2647;0;1;20
2648;1;0;56
2652;3;3;1
2655;1;0;4
2661;0;1;236
2662;0;1;1
2665;10;27;78
2666;1;0;3
2668;6;5;63
2669;0;3;1
2670;1;2;14
2671;0;1;10
2676;0;314;1
2678;7;0;1
2680;1;0;30
2681;0;2;5
2682;0;1;43
2683;6;2;4
2686;0;2;12
2688;1;2;7
2691;4;0;3
2693;0;6;1
2694;0;3;20
2695;1;0;8
2697;5;0;2
2699;0;5;11
2700;18;5;12
2702;0;1;6
2703;1;0;5
2705;1;0;3
2707;0;1;1
2708;28;3;138
2709;9;22;1960
2710;0;12;200
2713;1;0;5
2714;1;0;1
2717;9;3;12
2719;0;1;67
2721;1;0;104
2726;15;218;8
2727;1;0;3
2731;0;1;18
2732;0;26;1
2733;1;0;3
2734;2;1;3
2735;1;0;6
2736;0;1;4
2737;0;1;12
2738;3;5;32
2739;2;3;7
2741;19;1;9
2744;0;3;4
2749;0;1;11
2750;2;0;4
2751;1;50;1
2752;0;1;217
2755;0;11;1
2756;1;1;284
2758;2;0;1
2761;2;0;69
2762;2;0;13
2763;1;24;2
2764;9;3;5
2767;3;0;55
2770;2;0;15
2771;0;3;2
2773;0;1;6
2775;6;2;56
2777;0;13;12
2779;0;1;5
2780;3;0;126
2781;0;1;68
2786;0;144;1
2787;4;1;28
2789;2;0;18
2796;3;2;15
2798;0;1;108
2799;0;2;7
2802;2;1;3
2803;1;1;1
2806;18;71;10
2807;1;4;221
2811;1;3;3
2814;4;4;13
2816;0;2;60
2817;4;1;11
2818;0;1;149
2820;0;2;24
2821;1;0;10
2823;4;0;2
2824;0;2;17
2825;5;0;36
2828;0;1;144
2830;0;1;42
2831;2;0;296
2833;2;1;20
2834;3;2;30
2837;0;1;26
2838;1;0;2
2839;0;1;3
2842;0;2;1
2843;1;1;21
2847;8;12;12
2848;1;4;25
2851;0;2;13
2854;4;8;2
2855;5;2;1
2856;4;2;8
2857;0;1;15
2859;1;1;57
2860;0;4;2
2864;8;1;3
2865;0;3;9
2866;0;1;16
2867;1;2;4
2868;1;0;8
2870;0;1;2
2874;6;6;3
2885;1;2;7
2886;2;2;2
2887;0;12;111
2888;0;98;1
2892;0;3;19
2898;0;1;4
2903;2;8;69
2905;0;2;18
2907;3;1;57
2910;0;3;19
2911;0;47;42
2912;1;0;9
2914;1;2;3
2916;8;6;2
2917;1;0;1
2918;0;5;31
2922;0;1;16
2924;11;3;9
2925;1;398;69
2928;10;22;91
2929;0;4;7
2930;0;7;1
2931;4;24;3
2932;0;1;1
2933;0;1;3
2934;1;1;1
2935;16;10;1
